Water Sanitation Shelter Health National KSS BCO BDD ETR ORT NKV MNM SKV KTG KOT KOC
0 0 0 0 0.31 0.03 0.31 0.34 0.57 0.47 0.40 0.19 0.22 0.22 0.17 0.36
0 0 0 1 0.15 0.03 0.24 0.40 0.16 0.08 0.07 0.11 0.10 0.06 0.07 0.22
0 0 1 0 0.03 0.02 0.01 0.11 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0.02
0 0 1 1 0.01 0.03 0.02 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.01
0 1 0 0 0.14 0.01 0.06 0.07 0.13 0.25 0.08 0.35 0.16 0.10 0.24 0.16
0 1 0 1 0.06 0.01 0.10 0.02 0.05 0.04 0.04 0.17 0.05 0.07 0.11 0.11
0 1 1 0 0.01 0.02 0.03 0.00 0.00 0.00 0.02 0.01 0.03 0.00 0.04 0.01
0 1 1 1 0.01 0.02 0.02 0.00 0.01 0.00 0.02 0.02 0.03 0.00 0.00 0.01
1 0 0 0 0.04 0.04 0.01 0.02 0.01 0.03 0.15 0.03 0.11 0.06 0.02 0.03
1 0 0 1 0.03 0.06 0.02 0.01 0.00 0.01 0.10 0.03 0.03 0.06 0.03 0.06
1 0 1 0 0.02 0.06 0.01 0.00 0.00 0.02 0.03 0.01 0.05 0.02 0.02 0.00
1 0 1 1 0.02 0.12 0.08 0.00 0.00 0.00 0.01 0.00 0.01 0.02 0.01 0.01
1 1 0 0 0.04 0.04 0.00 0.00 0.01 0.04 0.01 0.03 0.04 0.10 0.08 0.00
1 1 0 1 0.04 0.09 0.02 0.00 0.00 0.03 0.01 0.02 0.04 0.08 0.12 0.00
1 1 1 0 0.03 0.12 0.02 0.00 0.01 0.01 0.03 0.00 0.04 0.07 0.05 0.00
1 1 1 1 0.06 0.31 0.06 0.00 0.00 0.01 0.01 0.00 0.07 0.13 0.03 0.00
